,off_total_yds_g,off_pass_yds_g,off_rush_yds_g,off_pts_g,def_total_yds_g,def_pass_yds_g,def_rush_yds_g,def_pts_g,kick_att,kick_yds,kick_avg,kick_lng,kick_td,punt_att,punt_yds,punt_avg,punt_lng,punt_td,punt_fc,turn_diff,take_int,take_fum,take_total,give_int,give_fum,give_total,record,rat,pwr,off,def,hfa,sos,Year,Playoff
0,413.6,297.8,115.9,29.2,337.8,234.8,103.0,23.5,29,549,18.9,31,0,19,111,5.8,15,0,29,-7,8,6,14,15,6,21,0.5,8.47,0.39,23.59,-0.46,1.54,1.01,2022,1
1,397.6,258.1,139.5,28.4,300.6,222.9,77.7,16.3,26,599,23.0,39,0,33,356,10.8,35,0,21,13,20,10,30,9,8,17,0.75,9.0,6.21,24.83,4.13,1.48,-0.75,2022,1
2,389.1,241.5,147.6,28.1,328.2,220.9,107.2,21.7,36,692,19.2,48,0,36,241,6.7,22,0,13,-3,11,9,20,12,11,23,0.85,9.29,6.84,29.36,0.22,1.48,1.13,2022,1
3,380.0,251.8,128.2,26.6,341.1,226.0,115.1,22.6,33,663,20.1,34,0,25,183,7.3,22,0,19,-1,16,6,22,15,8,23,0.294,8.13,-1.36,20.3,1.08,1.42,0.74,2022,0
4,365.6,226.8,138.8,26.5,301.5,179.8,121.6,20.2,30,663,22.1,66,0,35,323,9.2,27,0,18,8,17,10,27,9,10,19,0.8,9.12,6.69,28.36,1.08,1.55,0.21,2022,1
5,364.5,265.4,99.2,23.4,319.1,214.6,104.6,17.9,36,908,25.2,101,2,29,276,9.5,28,0,18,0,17,10,27,14,13,27,0.778,9.03,6.28,27.13,1.9,1.47,0.53,2022,1
6,361.5,263.8,97.7,24.9,346.1,200.4,145.8,22.6,27,512,19.0,33,0,29,339,11.7,28,0,17,5,14,10,24,10,9,19,0.556,8.46,0.69,24.41,-0.98,1.41,-0.61,2022,1
7,360.5,265.0,95.5,26.1,392.4,245.8,146.5,25.1,34,889,26.1,52,0,20,264,13.2,47,1,20,7,12,10,22,7,8,15,0.529,8.41,0.04,25.35,-2.57,1.46,-0.17,2022,0
8,359.3,269.6,89.6,23.0,388.7,265.6,123.1,25.1,36,920,25.6,97,1,26,167,6.4,25,0,14,2,15,10,25,15,8,23,0.722,8.6,-1.17,25.1,-3.53,1.47,-0.78,2022,1
9,357.4,232.9,124.5,23.8,379.5,209.3,170.2,24.7,22,513,23.3,50,0,37,362,9.8,31,0,18,-1,16,11,27,19,9,28,0.206,7.72,-7.31,18.16,-2.72,1.39,-0.73,2022,0
10,354.9,219.8,135.2,27.5,330.2,200.9,129.3,20.1,22,526,23.9,63,0,29,303,10.4,52,0,26,10,16,17,33,18,5,23,0.684,8.88,5.93,27.01,1.67,1.51,0.36,2022,1
11,352.5,231.4,121.1,23.2,348.9,230.3,118.6,26.4,31,686,22.1,44,0,35,289,8.3,28,0,11,-5,11,9,20,17,8,25,0.235,7.91,-4.24,20.77,-2.26,1.34,0.46,2022,0
12,351.5,231.4,120.1,23.9,324.3,232.2,92.1,18.5,27,659,24.4,103,1,20,214,10.7,46,0,20,4,14,11,25,13,8,21,0.556,8.63,2.29,21.2,3.84,1.44,0.63,2022,1
13,349.1,202.6,146.5,21.2,375.9,218.6,157.3,27.2,38,996,26.2,63,0,23,198,8.6,27,0,10,-2,14,9,23,15,10,25,0.176,7.71,-6.47,19.62,-3.35,1.49,0.06,2022,0
14,346.7,269.8,76.9,18.4,320.0,210.2,109.8,21.1,24,420,17.5,29,0,37,308,8.3,30,0,16,-1,15,8,23,15,9,24,0.294,8.04,-3.03,18.62,1.1,1.47,-0.42,2022,0
15,338.8,178.8,160.0,20.6,353.3,238.5,114.8,20.6,29,721,24.9,54,0,29,230,7.9,22,0,14,5,14,13,27,9,13,22,0.526,8.42,-0.73,22.7,-0.69,1.46,-0.69,2022,1
16,337.9,213.6,124.3,21.8,304.6,191.3,113.3,20.2,41,902,22.0,45,0,44,336,7.6,19,0,26,-5,9,9,18,16,7,23,0.5,8.35,-1.44,19.74,1.58,1.39,-0.09,2022,0
